ATP7B,GLRX
ATP7B,COX17
ATP7B,ATP13A3
ATP7B,ATP7A
TIMM22,TIMM10
TIMM22,TIMM10B
TIMM22,TIMM23
TIMM22,TIMM9
TIMM22,TOMM22
TIMM22,TOMM40
TIMM22,TOMM7
TIMM22,TOMM70A
TIMM22,AGK
TIMM22,C19orf52
RAPGEF3,ABCC8
RAPGEF3,AKAP6
RAPGEF3,KCNJ11
RAPGEF3,LRPAP1
RAPGEF3,MAPK7
RAPGEF3,PDE3B
RAPGEF3,RANBP2
RAPGEF3,RAP1A
RAPGEF3,RAP1B
RAPGEF3,RAP2B
DUSP13,AADAC
DUSP13,ADK
DUSP13,AP3M1
DUSP13,DHDH
DUSP13,KAT6B
DUSP13,KRT36
DUSP13,LMNA
DUSP13,PTPRR
DUSP13,SAMD8
DUSP13,SPINK1
FEM1A,CUL2
FEM1A,DCUN1D1
FEM1A,DCUN1D2
FEM1A,NEDD8
FEM1A,PPM1E
FEM1A,PPM1F
FEM1A,PTGER4
FEM1A,RBX1
FEM1A,TCEB1
FEM1A,TCEB2
EFEMP2,ADAMTS2
EFEMP2,ALG2
EFEMP2,ATP6V0A2
EFEMP2,ELN
EFEMP2,FBLN2
EFEMP2,FBLN5
EFEMP2,LOX
EFEMP2,LOXL1
EFEMP2,MFAP2
EFEMP2,MFAP5
MYH14,MYL1
MYH14,MYL12A
MYH14,MYL12B
MYH14,MYL2
MYH14,MYL6
MYH14,MYL6B
MYH14,MYL9
MYH14,MYLK
MYH14,MYLPF
MYH14,PPP1R12B
PBK,BIRC5
PBK,CCNB1
PBK,CDC20
PBK,CDK1
PBK,DLGAP5
PBK,MAD2L1
PBK,MELK
PBK,PLK1
PBK,TOP2A
PBK,TTK
TCOF1,ARRB1
TCOF1,HDAC1
TCOF1,KBTBD8
TCOF1,LNX2
TCOF1,MKLN1
TCOF1,NBN
TCOF1,NOLC1
TCOF1,NOP56
TCOF1,POLR1D
TCOF1,UBTF
DCTN5,ACTR10
DCTN5,ACTR1A
DCTN5,ACTR1B
DCTN5,CAPZB
DCTN5,DCTN1
DCTN5,DCTN2
DCTN5,DCTN4
DCTN5,DCTN6
DCTN5,DYNC1H1
DCTN5,DYNC1I2
SERPINB9,CASP1
SERPINB9,CASP4
SERPINB9,CASP8
SERPINB9,CTSG
SERPINB9,ELANE
SERPINB9,GPR101
SERPINB9,GZMB
SERPINB9,PIGM
SERPINB9,PRF1
SERPINB9,WDTC1
VIL1,CHGA
VIL1,COMMD6
VIL1,LGR5
VIL1,MYL1
VIL1,OLFM4
VIL1,PLCG1
VIL1,SLC11A1
VIL1,SPRYD7
VIL1,TM4SF5
VIL1,TNP1
NAT6,ACTA1
NAT6,ACTB
NAT6,CHMP1B
NAT6,PFN1
NAT6,PLA2G12B
NAT6,TFAP4
KIF3B,CLCN5
KIF3B,DYNC2H1
KIF3B,IFT20
KIF3B,IFT46
KIF3B,IFT52
KIF3B,IFT57
KIF3B,IFT88
KIF3B,KIF3A
KIF3B,KIFAP3
KIF3B,SYNE1
GPRIN2,DRD5
GPRIN2,GNAZ
GPRIN2,GTF2I
GPRIN2,HYDIN
GPRIN2,NBPF1
GPRIN2,NBPF12
GPRIN2,NPEPPS
GPRIN2,SRGAP2
GPRIN2,SRGAP3
GPRIN2,UGT2B17
ALCAM,CD34
ALCAM,CD44
ALCAM,CD6
ALCAM,CD9
ALCAM,ENG
ALCAM,ITGB1
ALCAM,L1CAM
ALCAM,LGALS8
ALCAM,NT5E
ALCAM,SDCBP
COG4,COG1
COG4,COG2
COG4,COG3
COG4,COG5
COG4,COG6
COG4,COG7
COG4,COG8
COG4,SCFD1
COG4,STX5
HBEGF,ADAM17
HBEGF,CD44
HBEGF,CD9
HBEGF,EGFR
HBEGF,ERBB2
HBEGF,ERBB4
HBEGF,FOS
HBEGF,IGF1
HBEGF,MMP7
HBEGF,MMP9
LDHB,G6PD
LDHB,GOT1
LDHB,GOT2
LDHB,GPI
LDHB,LDHA
LDHB,LDHD
LDHB,ME2
LDHB,PC
LDHB,PKLR
LDHB,PKM
ATP5J2,ATP5A1
ATP5J2,ATP5B
ATP5J2,ATP5C1
ATP5J2,ATP5D
ATP5J2,ATP5E
ATP5J2,ATP5F1
ATP5J2,ATP5H
ATP5J2,ATP5I
ATP5J2,ATP5J
ATP5J2,ATP5O
SLC25A10,ATP5F1
SLC25A10,GFM2
SLC25A10,MDFI
SLC25A10,SLC5A9
SLC25A10,SLC7A13
SLC25A10,TIMM50
SLC25A10,TOMM22
SLC25A10,TOMM40
SLC25A10,TOMM40L
SLC25A10,UTP6
RAB34,ARF6
RAB34,EPHB4
RAB34,FLCN
RAB34,RIC1
RAB34,RILP
RAB34,STXBP1
RAB34,TMF1
RAB34,UNC13B
RAB34,UNC13C
RAB34,USP6NL
MYF6,MEF2A
MYF6,MEF2C
MYF6,MEF2D
MYF6,MYF5
MYF6,PAX3
MYF6,PAX7
MYF6,TCF12
MYF6,TCF3
MYF6,TCF4
MYF6,ZFP62
NEBL,ACTN2
NEBL,DEPDC7
NEBL,FLNC
NEBL,HAND2
NEBL,MYPN
NEBL,PLXDC2
NEBL,TCAP
NEBL,TTN
NEBL,XIRP2
NEBL,ZYX
